City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-2.74,87,44,6.28,SJ,1712691786
1,illizi,26.4833,8.4667,33.89,14,97,5.4,DZ,1712691786
2,staryye ozinki,51.1786,49.6769,13.23,81,67,1.26,RU,1712691535
3,waitangi,-43.9535,-176.5597,16.01,93,39,2.68,NZ,1712691787
4,al majaridah,19.1236,41.9111,28.52,70,91,0.56,SA,1712691787
5,udachny,66.4167,112.4,-1.97,78,100,8.35,RU,1712691585
6,whitehorse,60.7161,-135.0538,4.43,44,75,5.66,CA,1712691785
7,puerto natales,-51.7236,-72.4875,10.25,43,75,6.17,CL,1712691523
8,tangalle,6.024,80.7911,25.75,81,52,4.36,LK,1712691788
9,port-aux-francais,-49.35,70.2167,8.47,94,100,16.65,TF,1712691523
10,la gi,10.6667,107.7833,27.01,81,14,7.74,VN,1712691788
11,grytviken,-54.2811,-36.5092,3.15,92,100,7.27,GS,1712691789
12,atafu village,-8.5421,-172.5159,30.26,74,97,7.56,TK,1712691532
13,wailua homesteads,22.0669,-159.378,24.24,84,20,7.2,US,1712691531
14,colonia,50.9333,6.95,11.57,73,0,6.17,DE,1712691789
15,vega de alatorre,20.0333,-96.6333,31.05,58,39,3.22,MX,1712691789
16,auki,-8.7676,160.7034,25.69,86,93,1.62,SB,1712691789
17,edinburgh of the seven seas,-37.0676,-12.3116,18.64,89,100,6.74,SH,1712691528
18,bethel,41.3712,-73.414,24.92,32,0,1.79,US,1712691789
19,olinda,-8.0089,-34.8553,27.85,89,75,2.57,BR,1712691790
20,blackmans bay,-43.0167,147.3167,8.62,90,61,0.45,AU,1712691524
21,lazaro cardenas,17.9583,-102.2,28.05,55,70,5.15,MX,1712691791
22,lokhvytsya,50.3678,33.2602,16.94,55,5,1.71,UA,1712691791
23,balkanabat,39.5108,54.3671,19.16,46,21,3.99,TM,1712691791
24,ilulissat,69.2167,-51.1,-6.99,73,20,2.06,GL,1712691525
25,itoman,26.1247,127.6694,19.49,82,75,4.12,JP,1712691791
26,kodiak,57.79,-152.4072,-3.27,50,100,5.14,US,1712691792
27,thompson,55.7435,-97.8558,14.09,24,40,2.06,CA,1712691792
28,remire-montjoly,4.9167,-52.2667,27.02,94,75,1.54,GF,1712691569
29,yellowknife,62.456,-114.3525,6.29,49,20,4.12,CA,1712691524
30,hawaiian paradise park,19.5933,-154.9731,21.69,95,100,4.12,US,1712691792
31,kalianget,-7.05,113.9333,26.4,85,100,1.52,ID,1712691793
32,soe,-9.8607,124.284,19.03,98,99,0.89,ID,1712691793
33,sant antoni de portmany,38.9807,1.3036,15.61,39,0,1.54,ES,1712691793
34,tsiombe,-25.3,45.4833,23.38,97,100,1.17,MG,1712691793
35,arar,30.9753,41.0381,23.01,16,0,0.0,SA,1712691794
36,adamstown,-25.066,-130.1015,23.6,79,37,2.83,PN,1712691794
37,kapa'a,22.0752,-159.319,24.99,84,20,7.2,US,1712691794
38,avarua,-21.2078,-159.775,26.03,89,75,4.63,CK,1712691794
39,touros,-5.1989,-35.4608,28.24,79,100,3.83,BR,1712691707
40,san patricio,28.017,-97.5169,31.76,56,62,8.53,US,1712691795
41,kailua-kona,19.6406,-155.9956,27.5,73,0,3.09,US,1712691795
42,punta arenas,-53.15,-70.9167,8.06,53,75,9.26,CL,1712691213
43,shortandy,51.7006,70.9994,3.93,96,100,4.67,KZ,1712691795
44,faya-largeau,17.9257,19.1043,27.19,8,4,4.71,TD,1712691795
45,sao raimundo nonato,-9.0153,-42.6994,32.54,42,83,1.39,BR,1712691738
46,afaahiti,-17.75,-149.2833,29.93,83,100,4.68,PF,1712691793
47,papatowai,-46.5619,169.4708,13.63,90,100,2.0,NZ,1712691796
48,trinity beach,-16.7888,145.6968,23.34,97,99,0.0,AU,1712691796
49,zykovo,55.9519,93.1461,7.41,92,100,3.75,RU,1712691796
50,margate,51.3813,1.3862,10.49,59,11,3.58,GB,1712691797
51,tura,25.5198,90.2201,23.72,35,50,1.78,IN,1712691797
52,longyearbyen,78.2186,15.6401,-10.09,85,75,0.51,SJ,1712691539
53,hermanus,-34.4187,19.2345,15.45,87,96,3.54,ZA,1712691791
54,luderitz,-26.6481,15.1594,18.81,65,0,9.29,NA,1712691798
55,dudinka,69.4058,86.1778,-21.69,95,100,6.04,RU,1712691798
56,timbuktu,16.7735,-3.0074,35.6,17,24,5.19,ML,1712691798
57,vorgashor,67.5833,63.95,-26.78,100,55,1.26,RU,1712691547
58,necochea,-38.5473,-58.7368,13.65,59,100,6.22,AR,1712691679
59,papao,-17.75,-149.55,30.82,80,100,5.3,PF,1712691551
60,fort bragg,35.139,-79.006,20.91,67,75,5.66,US,1712691626
61,todaraisingh,26.0167,75.4833,28.44,17,88,2.01,IN,1712691799
62,invercargill,-46.4,168.35,12.79,96,100,1.34,NZ,1712691724
63,albany,42.6001,-73.9662,23.71,29,47,0.89,US,1712691643
64,mount gambier,-37.8333,140.7667,12.61,86,100,2.09,AU,1712691562
65,aasiaat,68.7098,-52.8699,-8.13,84,100,2.4,GL,1712691800
66,sokoni,-6.4333,39.55,26.48,84,100,3.74,TZ,1712691800
67,miyako,39.6367,141.9525,1.15,75,1,2.63,JP,1712691801
68,uturoa,-16.7333,-151.4333,28.88,75,99,6.02,PF,1712691595
69,jamestown,42.097,-79.2353,24.77,43,20,7.2,US,1712691801
70,iqaluit,63.7506,-68.5145,-6.15,73,100,2.57,CA,1712691801
71,talnakh,69.4865,88.3972,-24.28,100,99,3.36,RU,1712691801
72,vilyuchinsk,52.9306,158.4028,3.29,99,100,3.83,RU,1712691541
73,tazacorte,28.629,-17.9293,20.08,80,0,8.75,ES,1712691802
74,stanley,54.868,-1.6985,7.38,83,20,6.17,GB,1712691794
75,buka,40.8108,69.1986,11.84,71,9,2.73,UZ,1712691549
76,port elizabeth,-33.918,25.5701,18.39,95,14,3.13,ZA,1712691803
77,bredasdorp,-34.5322,20.0403,16.74,89,72,4.07,ZA,1712691803
78,shizilu,35.1711,118.8289,9.68,63,84,1.54,CN,1712691803
79,ust-nera,64.5667,143.2,-17.22,100,83,1.6,RU,1712691555
80,ushuaia,-54.8,-68.3,4.81,75,75,10.8,AR,1712691500
81,velizh,55.6056,31.1967,15.33,87,10,2.26,RU,1712691804
82,lebu,-37.6167,-73.65,11.76,67,83,10.44,CL,1712691783
83,namsos,64.4662,11.4957,7.95,53,0,2.57,NO,1712691804
84,shubarshi,48.5872,57.1869,13.84,55,100,7.18,KZ,1712691804
85,lihue,21.9789,-159.3672,24.58,80,20,7.2,US,1712691558
86,fada,9.5667,8.3,22.73,64,100,2.62,NG,1712691805
87,christchurch,-43.5333,172.6333,21.38,61,72,4.12,NZ,1712691520
88,puerto ayora,-0.7393,-90.3518,27.73,72,30,3.87,EC,1712691805
89,cidreira,-30.1811,-50.2056,24.22,84,36,2.45,BR,1712691805
90,castillos,-34.1667,-53.8333,21.95,72,100,2.33,UY,1712691550
91,yuzhno-kurilsk,44.0306,145.8556,1.32,98,95,11.01,RU,1712691536
92,colares,38.7992,-9.4469,15.82,69,0,8.94,PT,1712691806
93,kapuskasing,49.4169,-82.4331,12.05,71,100,8.23,CA,1712691790
94,sampit,-2.5333,112.95,23.6,100,100,0.66,ID,1712691807
95,bilibino,68.0546,166.4372,-10.5,94,100,0.71,RU,1712691787
96,susuman,62.7833,148.1667,-21.68,100,99,0.89,RU,1712691532
